,model_version,learning_rate,final_learning_rate,batch_size,min_val_mean_absolute_error,min_val_mean_absolute_error_epoch,model_md5
0,2,0.0001,1e-06,256,6.630898952484131,33,bef35fe13cb40d7605f00f68311c853e
1,1,0.0001,1e-06,1024,6.860442638397218,191,2dcbe73c56af6417be5d01a64bd97c34
2,3,0.001,1e-05,1024,6.083813190460205,24,edee2bfb233e6d54c900c94d8b0ed2a4
3,3,5e-05,5e-07,512,5.843924045562744,189,35f62204f54af44c43df8f1de1829abf
4,1,0.0005,5e-06,1024,6.061217784881593,299,a0cc2bc3c6d0b0438489615f07f6d773
5,2,5e-05,5e-07,512,6.722532749176025,112,f0d29439d9fb85b55019109942a29b9c
6,2,0.001,1e-05,1024,7.669968605041504,32,c8471cc85abcf78d945179ff62a731a7
7,0,5e-05,5e-07,512,6.018012523651122,562,f8e8d095d7f51a3984d212f0775fa8c0
8,2,0.001,1e-05,512,7.206184387207031,20,99353914a689ce94a93c83718f57cf1e
9,0,0.0005,5e-06,1024,5.967965602874756,88,bfc0da38a4dd07da696a26275f8779e7
10,0,5e-05,5e-07,256,5.966614723205566,349,3da08afbb3274ae712bed8b84d291287
11,1,5e-05,5e-07,512,6.8719425201416025,233,bdd20c51f469e2d5c0c7a995068e71ee
12,3,0.001,1e-05,256,6.078175067901611,8,d6794c20da1489b11265881fc9bc1d94
13,1,5e-05,5e-07,256,6.440238952636719,364,abfabca4c0a6bb9d10b56cf460432c9b
14,1,0.001,1e-05,256,5.994795799255371,95,16acc683d69a3cad3ebf6ba86749ba0f
15,3,0.0005,5e-06,1024,5.954773902893066,41,f083992bd46291368588881cc8bc572d
16,3,0.0005,5e-06,512,6.030458927154541,21,e2be567f18eda5cfb27b4087aab4f999
17,0,0.0001,1e-06,512,5.94601583480835,299,2363c04e3618963832096af84dee1786
18,3,0.001,1e-05,512,6.169193744659424,10,acae3a1679a4cdacdd36dff77ad535ec
19,0,5e-05,5e-07,1024,6.17670202255249,998,1632b2f7777fec3fe853974e35e0d367
20,1,0.0005,5e-06,256,5.99411153793335,142,8cc812327df7f4a51185f8f56e986a44
21,2,0.0005,5e-06,1024,7.361936569213867,36,b29842abbdf642f40afb51533543b6b2
22,1,0.0001,1e-06,512,6.3150634765625,397,f9e17d7f18addf6e043b5a3afe3efbd5
23,1,0.001,1e-05,1024,6.243584632873535,88,aeb3500b3e53c9338b0faf820874cbeb
24,0,0.0005,5e-06,256,5.9556641578674325,37,9625ce8ddd9c674fca7d55642154383f
25,2,5e-05,5e-07,1024,39.33625030517578,12,62345ff4af5820b09588524844e19e22
26,2,0.0005,5e-06,256,6.403611183166504,9,fb8f28ab3fb97d28165385b179502b9f
27,2,0.0001,1e-06,1024,6.864909648895264,102,cfaf39e42e2a11919192eb8ac6593802
28,0,0.001,1e-05,1024,5.9920921325683585,45,3e61fd9f22d1efb385d7f7493417c94c
29,3,5e-05,5e-07,1024,5.8979430198669425,279,b5f7165daf9c3891c79fa6aad741811c
30,2,0.001,1e-05,256,6.6420955657958975,7,dec11b03cd64ef7ec651683d89c377ca
31,0,0.001,1e-05,256,5.995875835418701,16,023bd2a2ad3989ca9623a58b2d238748
32,3,5e-05,5e-07,256,5.858046531677246,129,4ee8773e9c83da1501f85cfeedcddfa0
33,3,0.0001,1e-06,512,5.851588249206543,120,2dfebde823436522884ec18e8a7cf41f
34,2,5e-05,5e-07,256,6.649468421936035,62,18a6571784e58029672e0841a9402078
35,2,0.0001,1e-06,512,6.698594570159912,55,606fe7d138de90ea018d526fd2dc678e
36,2,0.0005,5e-06,512,6.915140628814697,17,87aef0415a05d239803bc330d0699315
37,1,0.0001,1e-06,256,6.271762371063232,286,3ec1ad53673abe8413db6ec7fb7a8e62
38,3,0.0005,5e-06,256,6.0689215660095215,13,648042d8166ce7a02b24f9991b2778ce
39,1,0.0005,5e-06,512,6.177395820617676,93,1c3dcaf9c701f9a1c71c06edad9f5ccb
40,0,0.0001,1e-06,256,5.917162418365479,191,f59e92325e41bb2b4675571ec5297ec5
41,3,0.0001,1e-06,1024,5.848909378051758,184,67f4e7bdc11d340438fd10a1e2ce3131
42,0,0.001,1e-05,512,5.984932899475098,23,ca7bfbb14cf9488db719b9dbdfb082f1
43,3,0.0001,1e-06,256,5.867257595062256,64,c67df90b87e77dc7ad9955edc4ba8c0f
44,0,0.0005,5e-06,512,5.92111349105835,59,7bb17144f0198554686c6ef9e502507e
45,1,0.001,1e-05,512,5.958016872406006,142,7d30305b475fbc00fd35e4f0467dc352
46,0,0.0001,1e-06,1024,8.25644588470459,27,2ce5c44080698c01af3ff32d85e9f6d9
47,1,5e-05,5e-07,1024,6.925826072692871,378,93c255cd6e554ad0d669fdb64f2d012c
