,model_version,learning_rate,final_learning_rate,batch_size,min_val_mean_absolute_error,min_val_mean_absolute_error_epoch,model_md5
0,2,0.0001,1e-06,256,5.007628917694092,57,bef35fe13cb40d7605f00f68311c853e
1,1,0.0001,1e-06,1024,5.675189971923827,56,2dcbe73c56af6417be5d01a64bd97c34
2,3,0.001,1e-05,1024,4.831822395324707,19,edee2bfb233e6d54c900c94d8b0ed2a4
3,1,0.0005,5e-06,1024,5.79881763458252,21,a0cc2bc3c6d0b0438489615f07f6d773
4,2,0.001,1e-05,1024,5.0165061950683585,32,c8471cc85abcf78d945179ff62a731a7
5,2,0.001,1e-05,512,5.076460838317871,23,99353914a689ce94a93c83718f57cf1e
6,0,0.0005,5e-06,1024,4.873247146606445,33,bfc0da38a4dd07da696a26275f8779e7
7,3,0.001,1e-05,256,4.792707443237305,12,d6794c20da1489b11265881fc9bc1d94
8,1,0.001,1e-05,256,4.803211212158203,129,16acc683d69a3cad3ebf6ba86749ba0f
9,3,0.0005,5e-06,1024,4.808760166168213,30,f083992bd46291368588881cc8bc572d
10,3,0.0005,5e-06,512,4.7716450691223145,23,e2be567f18eda5cfb27b4087aab4f999
11,0,0.0001,1e-06,512,4.928434371948242,43,2363c04e3618963832096af84dee1786
12,3,0.001,1e-05,512,4.739805221557617,18,acae3a1679a4cdacdd36dff77ad535ec
13,1,0.0005,5e-06,256,5.11314582824707,53,8cc812327df7f4a51185f8f56e986a44
14,2,0.0005,5e-06,1024,5.179200649261475,36,b29842abbdf642f40afb51533543b6b2
15,1,0.0001,1e-06,512,5.662484645843506,48,f9e17d7f18addf6e043b5a3afe3efbd5
16,1,0.001,1e-05,1024,6.005318641662598,21,aeb3500b3e53c9338b0faf820874cbeb
17,0,0.0005,5e-06,256,4.849009990692139,13,9625ce8ddd9c674fca7d55642154383f
18,2,0.0005,5e-06,256,5.0425686836242685,16,fb8f28ab3fb97d28165385b179502b9f
19,2,0.0001,1e-06,1024,5.065631866455078,156,cfaf39e42e2a11919192eb8ac6593802
20,0,0.001,1e-05,1024,4.908129215240479,33,3e61fd9f22d1efb385d7f7493417c94c
21,2,0.001,1e-05,256,4.998945713043213,12,dec11b03cd64ef7ec651683d89c377ca
22,0,0.001,1e-05,256,4.809377193450928,13,023bd2a2ad3989ca9623a58b2d238748
23,3,0.0001,1e-06,512,4.8166823387146,31,2dfebde823436522884ec18e8a7cf41f
24,2,0.0001,1e-06,512,5.024580955505371,83,606fe7d138de90ea018d526fd2dc678e
25,2,0.0005,5e-06,512,5.036324501037598,26,87aef0415a05d239803bc330d0699315
26,1,0.0001,1e-06,256,5.627877712249756,42,3ec1ad53673abe8413db6ec7fb7a8e62
27,3,0.0005,5e-06,256,4.7075018882751465,13,648042d8166ce7a02b24f9991b2778ce
28,1,0.0005,5e-06,512,5.585631847381592,28,1c3dcaf9c701f9a1c71c06edad9f5ccb
29,0,0.0001,1e-06,256,4.885180950164795,29,f59e92325e41bb2b4675571ec5297ec5
30,3,0.0001,1e-06,1024,4.822789669036865,55,67f4e7bdc11d340438fd10a1e2ce3131
31,0,0.001,1e-05,512,4.911509037017822,23,ca7bfbb14cf9488db719b9dbdfb082f1
32,3,0.0001,1e-06,256,4.798355102539063,16,c67df90b87e77dc7ad9955edc4ba8c0f
33,0,0.0005,5e-06,512,4.801699638366699,23,7bb17144f0198554686c6ef9e502507e
34,1,0.001,1e-05,512,5.898850917816162,10,7d30305b475fbc00fd35e4f0467dc352
35,0,0.0001,1e-06,1024,5.021074771881104,79,2ce5c44080698c01af3ff32d85e9f6d9
