dataset,subset,model,md5
amazon,digital_music,ATT2ITM,83d7299d69e036237427036eafe7886a
amazon,digital_music,BOW2ITM,f6437033f3c383c81bafbcd296d11122
amazon,digital_music,USEM2ITM,79e6447f873f01e909da8f0dca6627ca
amazon,fashion,ATT2ITM,35df7659227e1d9871e0be81787f66c6
amazon,fashion,BOW2ITM,2bf0d3793edf66c690c9d37fa4afa6b2
amazon,fashion,USEM2ITM,b73849c1547e35e73b945f1ac891bf3e
pois,barcelona,ATT2ITM,befb3fb7ff73fefc2577c108acb4ebc0
pois,barcelona,BOW2ITM,659b73c68ee6fbad1b8b86590c8b514e
pois,barcelona,USEM2ITM,4a75205e3811c42a98be9cb8602c2f65
pois,london,ATT2ITM,b1fd2b9a5b758e60a01fad655ae73515
pois,london,BOW2ITM,58539f1981fab6b86e15924f1a7bf50f
pois,london,USEM2ITM,b7caed7a4d82d3bc054e9ddf4172ff9c
pois,madrid,ATT2ITM,afe7526023b1827d88ecad6479de8971
pois,madrid,BOW2ITM,f8d6f8eec381179ac84a0715813f5322
pois,madrid,USEM2ITM,6e01c0a0df89d627b95aa5b8fccc153c
pois,newyorkcity,ATT2ITM,37ed8371d07fb3ebc09c24d421039f8a
pois,newyorkcity,BOW2ITM,c6bf4924dccb44d4096c913f09b2856e
pois,newyorkcity,USEM2ITM,96be83abf434a894bb645f31d26b84b8
pois,paris,ATT2ITM,734cbcb93f6f6f5d7b5c5a5247f561f9
pois,paris,BOW2ITM,9e071c5f97ff63f54bf5aed7243d7a8f
pois,paris,USEM2ITM,6e921900e2c8a12d84716e2b1d975711
restaurants,barcelona,ATT2ITM,a751af910be5e885fa3470532027da52
restaurants,barcelona,BOW2ITM,e7847b82b4b7766d5c55f8c1fa6b420b
restaurants,barcelona,USEM2ITM,681a8a44718862ca193269a2f26c265b
restaurants,gijon,ATT2ITM,544d98b3ba0a0dfd7e3f0019f4d9675e
restaurants,gijon,BOW2ITM,401e85db0ccb089b9a9c16018ad9e1a4
restaurants,gijon,USEM2ITM,6176b22e81f5ac3a3fd3d8cef15bf87f
restaurants,madrid,ATT2ITM,a4b0c8d943798dec23a1c92e58393f9c
restaurants,madrid,BOW2ITM,d83ee2225f1cb02abaddf9f363260f4f
restaurants,madrid,USEM2ITM,8e2850f07e2417da31adda6690ecb102
restaurants,newyorkcity,ATT2ITM,8b74c00371d98f236fb265dd46b234c4
restaurants,newyorkcity,BOW2ITM,03249d447359cf2ea87d87d3de473d6c
restaurants,newyorkcity,USEM2ITM,bf1ad401491f16a4b4c20361be55e9e5
restaurants,paris,ATT2ITM,93b1f31e2c35a560da30ecd7415f755e
restaurants,paris,BOW2ITM,6aea4232acc6d6e60e572d5e8bd9103f
restaurants,paris,USEM2ITM,f77689739fee40dfa623d0c1e5f8eb58
