epoch,NDCG10,e_time,f1,loss,lr,p10,p5,r1,r10,r5
0,0.32648566365242004,4.208238363265991,0.057687707245349884,3.9438095092773438,4.99505e-05,0.05311969667673111,0.07713477313518524,0.169049933552742,0.5312254428863525,0.385673850774765
1,0.44804129004478455,1.6863205432891846,0.09347256273031235,3.390598773956299,4.9901002e-05,0.0690934881567955,0.10876622051000595,0.24503393471240997,0.6909252405166626,0.5437837839126587
2,0.5259924530982971,1.678274154663086,0.11803356558084488,3.0286126136779785,4.9851504e-05,0.07309094071388245,0.1256740391254425,0.33820396661758423,0.7308999300003052,0.6283323764801025
3,0.5810971260070801,1.664161205291748,0.12980149686336517,2.697049856185913,4.9802005e-05,0.07760985940694809,0.13637180626392365,0.39903658628463745,0.7761079668998718,0.6818495988845825
4,0.6237296462059021,1.670259714126587,0.1314709186553955,2.4336860179901123,4.9752507e-05,0.08093539625406265,0.14436860382556915,0.4493645131587982,0.8093538880348206,0.7218337059020996
5,0.6516843438148499,1.660360336303711,0.13424928486347198,2.2549219131469727,4.970301e-05,0.08328618109226227,0.15017932653427124,0.4794401228427887,0.8328711986541748,0.7508872151374817
6,0.6712226867675781,1.6977179050445557,0.13708148896694183,2.126042366027832,4.965351e-05,0.08496598154306412,0.15403296053409576,0.5006104111671448,0.8496503233909607,0.7702215313911438
7,0.6859073042869568,1.721170425415039,0.14187423884868622,2.0334949493408203,4.9604012e-05,0.0862511396408081,0.15678878128528595,0.5161024928092957,0.8625209331512451,0.7839438915252686
8,0.6982856392860413,1.7210330963134766,0.15098904073238373,1.9548723697662354,4.9554514e-05,0.08729500323534012,0.1593269556760788,0.5303453207015991,0.8729404807090759,0.7966252565383911
9,0.7090483903884888,1.7224714756011963,0.16551628708839417,1.8916218280792236,4.9505015e-05,0.08805115520954132,0.16145436465740204,0.5428563356399536,0.8805114030838013,0.8072530031204224
10,0.7193552851676941,1.731114149093628,0.1831967681646347,1.830769658088684,4.9455517e-05,0.08884231746196747,0.16322220861911774,0.5549509525299072,0.8884136080741882,0.8161109685897827
11,0.7289704084396362,1.7323527336120605,0.20966161787509918,1.7755334377288818,4.940602e-05,0.08969121426343918,0.1652606874704361,0.565058171749115,0.8969214558601379,0.8262939453125
12,0.736903190612793,1.7174885272979736,0.232376828789711,1.729297161102295,4.935652e-05,0.09025619924068451,0.16667646169662476,0.5743041634559631,0.9025902152061462,0.8333727717399597
13,0.7443588376045227,1.712021827697754,0.25881463289260864,1.682612419128418,4.9307022e-05,0.09076058864593506,0.16814331710338593,0.5830959677696228,0.9075870513916016,0.8407166004180908
14,0.7513765096664429,1.7214207649230957,0.27510812878608704,1.6398452520370483,4.9257524e-05,0.0912034884095192,0.16949473321437836,0.5917646884918213,0.9120160341262817,0.847473680973053
15,0.7566809058189392,1.7299368381500244,0.2915636897087097,1.6021459102630615,4.9208025e-05,0.09157826006412506,0.17056982219219208,0.5978593230247498,0.9157731533050537,0.8528301119804382
16,0.7616444826126099,1.721332311630249,0.2963506281375885,1.578063726425171,4.9158527e-05,0.09190569818019867,0.17141205072402954,0.6045312285423279,0.9190759658813477,0.8570603728294373
17,0.766772449016571,1.7238953113555908,0.30467966198921204,1.5455334186553955,4.910903e-05,0.09223409742116928,0.17228277027606964,0.610531210899353,0.9223220348358154,0.8614326119422913
18,0.769837498664856,1.718778133392334,0.31480470299720764,1.5195629596710205,4.905953e-05,0.09259182214736938,0.17306064069271088,0.6128970980644226,0.9259087443351746,0.8652843236923218
19,0.7725757360458374,1.7191855907440186,0.318708211183548,1.5045346021652222,4.9010032e-05,0.09270158410072327,0.17360764741897583,0.6165311932563782,0.9270443916320801,0.8680382966995239
20,0.7769580483436584,1.7239265441894531,0.3180890679359436,1.4861760139465332,4.8960534e-05,0.09291928261518478,0.1741792857646942,0.6229002475738525,0.9291831851005554,0.8708868622779846
21,0.778418779373169,1.719689130783081,0.3262045979499817,1.468807578086853,4.8911035e-05,0.09309813380241394,0.17469219863414764,0.6241305470466614,0.9309434294700623,0.8734609484672546
22,0.7822303771972656,1.7159759998321533,0.3252488672733307,1.4514153003692627,4.8861537e-05,0.09330632537603378,0.1751691848039627,0.6294112801551819,0.9330538511276245,0.8758457899093628
23,0.7842316031455994,1.7277798652648926,0.3250048756599426,1.4358487129211426,4.881204e-05,0.09346435964107513,0.1754852533340454,0.6318623423576355,0.934634268283844,0.8774167895317078
24,0.7854535579681396,1.7235932350158691,0.3254942297935486,1.4296389818191528,4.876254e-05,0.09351640939712524,0.17592623829841614,0.6325721144676208,0.935164213180542,0.8796407580375671
25,0.7883872389793396,1.725039005279541,0.33029335737228394,1.411163330078125,4.8713042e-05,0.09375869482755661,0.17634263634681702,0.6361967325210571,0.937577486038208,0.8817038536071777
26,0.7889381647109985,1.724020004272461,0.33649012446403503,1.4067643880844116,4.8663544e-05,0.09378141164779663,0.17645055055618286,0.6371336579322815,0.9378140568733215,0.8822527527809143
27,0.7903227210044861,1.7197494506835938,0.33811333775520325,1.3995513916015625,4.8614045e-05,0.09384860843420029,0.17660196125507355,0.638856053352356,0.9385049343109131,0.8830192685127258
28,0.7930169701576233,1.7207303047180176,0.33936357498168945,1.386070728302002,4.8564547e-05,0.09392621368169785,0.17698810994625092,0.6432093381881714,0.9392620325088501,0.8849309682846069
29,0.7937028408050537,1.7139153480529785,0.33833539485931396,1.3784302473068237,4.851505e-05,0.09412021934986115,0.1772739142179489,0.643029510974884,0.941192626953125,0.8863694667816162
30,0.7952218651771545,1.721135139465332,0.3405910134315491,1.3675744533538818,4.846555e-05,0.094106025993824,0.17759943008422852,0.6460105776786804,0.9410601258277893,0.8879972100257874
31,0.7959179282188416,1.717928409576416,0.34411489963531494,1.3645281791687012,4.8416052e-05,0.09418930113315582,0.1776410937309265,0.6461998820304871,0.9419023990631104,0.8882148861885071
32,0.7960036993026733,1.720677375793457,0.339499294757843,1.3609960079193115,4.8366554e-05,0.09424134343862534,0.17792880535125732,0.6452629566192627,0.942394495010376,0.8896628022193909
33,0.7973967790603638,1.7192118167877197,0.34092092514038086,1.3536834716796875,4.8317055e-05,0.09433788806200027,0.1779685616493225,0.647458553314209,0.9433976411819458,0.8898236751556396
34,0.7996123433113098,1.710174322128296,0.3382374048233032,1.3439146280288696,4.8267557e-05,0.09443343430757523,0.1784057468175888,0.6505247354507446,0.9443345665931702,0.8920192718505859
35,0.8002915382385254,1.730748176574707,0.34312769770622253,1.3413318395614624,4.821806e-05,0.09447227418422699,0.1786007136106491,0.6512061357498169,0.9447131156921387,0.8930034637451172
36,0.8003503680229187,1.7163512706756592,0.3442060351371765,1.3352903127670288,4.816856e-05,0.0944722443819046,0.17859499156475067,0.6512345671653748,0.9447036385536194,0.8929750919342041
