Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.020826183113727907,0.4065830111503601,0.1878601312637329,0.11327578312109322,0.7903149127960205,0.4065830111503601,0.5635803937911987,0.6230168342590332,0.6796116232872009,0.7603599429130554,0.010552125051617622,0.4065830111503601,0.11271607875823975,0.06230168044567108,0.5725017786026001,0.40670138597488403,0.5097736716270447,0.5400979518890381,0.5509313941001892
BERT2ITM,0.0037058727382236634,0.0015391901833936572,0.007025021956198738,0.009041396423804858,0.5053279399871826,0.0015391901833936572,0.021075064316391945,0.049727682024240494,0.0837082639336586,0.1703765094280243,0.0018597557209432125,0.0015391901833936572,0.004215013235807419,0.0049727680161595345,0.14852312207221985,0.0015391901833936572,0.020696472376585007,0.046204350888729095,0.062429461628198624
BOW2ITM,0.004581859817629167,0.34193700551986694,0.1687583840555614,0.10279207042426117,0.9366564154624939,0.34193700551986694,0.5062751770019531,0.5653563737869263,0.630357563495636,0.7214065790176392,0.0022965469397604465,0.34193700551986694,0.10125502943992615,0.056535638868808746,0.5204825401306152,0.3425289988517761,0.44894254207611084,0.48313331604003906,0.49535056948661804
BiVAECF,0.002102054971612673,0.0017408832691955286,0.008601783959123178,0.00803536645688925,1.0,0.0017179769103903243,0.02519699468572476,0.042766171889316466,0.07855343071808163,0.15267840781172282,0.0010522727196854709,0.0017866959868059373,0.005222649807586586,0.004452996151731747,0.14778337134886585,0.0017866959868059373,0.019177084285819403,0.042998566508463766,0.05921086573558637
GridSearch_BPR,0.002102054971612673,0.0014660069635330766,0.007643088388003186,0.007164210857861201,1.0,0.0014431006047278725,0.02166941542972329,0.036952538024555615,0.062406083928898654,0.14293338830859448,0.0010522727196854709,0.0015118196811434853,0.00470038482682792,0.0039994502473886945,0.14435744570462977,0.0015118196811434853,0.017087272445956148,0.0394943594829503,0.05323788419006548
GridSearch_EASEᴿ,0.002102054971612673,0.08471033273122333,0.05505922919481486,0.03960708523655269,1.0,0.08317069818581639,0.1540891122804262,0.1991135239142386,0.2513567109086626,0.33556506714835466,0.0010522727196854709,0.08823529411764706,0.034194612424408286,0.02230621220450732,0.2489498915047096,0.08823529411764706,0.13710912248672183,0.16788484057048028,0.17894666180546073
MF,0.002102054971612673,0.0,0.0014660069635330768,0.001593033135089209,1.0,0.0,0.0043980208905992305,0.008589884551951622,0.016148982957669047,0.034451163643027305,0.0010522727196854709,0.0,0.0008796041781198464,0.0008796041781198451,0.12346321857627057,0.0,0.003920496223994128,0.009476096332809226,0.01730718469212551
MostPop,0.002102054971612673,0.0014660069635330766,0.007643088388003186,0.007164210857861201,1.0,0.0014431006047278725,0.02166941542972329,0.036952538024555615,0.06245189664650907,0.13102208172988822,0.0010522727196854709,0.0015118196811434853,0.00470038482682792,0.0039994502473886945,0.14416671088868152,0.0015118196811434853,0.017087272445956148,0.037232964465599906,0.05326058805664923
USEM2ITM,0.0037905339433732406,0.0015391901833936572,0.007143421098589897,0.008976815099065954,0.4917120635509491,0.0015391901833936572,0.02143026329576969,0.04937248304486275,0.08347146213054657,0.17073170840740204,0.0019026004010811448,0.0015391901833936572,0.004286052659153938,0.004937248304486275,0.14830130338668823,0.0015391901833936572,0.020438063889741898,0.04606540501117706,0.062228795140981674
online_ibpr,0.002102054971612673,0.14238592633315006,0.0844993760744173,0.05393904016086658,1.0,0.1419736118746564,0.2513629283489096,0.29340591376737607,0.3324039896332365,0.37869086887091286,0.0010522727196854709,0.14321055525013743,0.05087960417811813,0.029741616272676196,0.308742767233918,0.14321055525013743,0.2145464461169612,0.23381428107243532,0.2408384721146051
