Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.050638806005326976,0.29427528381347656,0.2354039748509725,0.14390433327225613,0.900852620601654,0.29427528381347656,0.7062119245529175,0.7914738059043884,0.8514007329940796,0.9098660349845886,0.026051610708236694,0.29427528381347656,0.1412423849105835,0.07914738357067108,0.5965550541877747,0.29403167963027954,0.5571675896644592,0.5838904976844788,0.5898767113685608
BERT2ITM,0.009653556958228693,0.07819732278585434,0.06268778153591685,0.055054812145627234,0.7780755162239075,0.07819732278585434,0.1880633383989334,0.3028014600276947,0.39634591341018677,0.543239951133728,0.004856908228248358,0.07819732278585434,0.0376126691699028,0.03028014674782753,0.29444631934165955,0.07819732278585434,0.17903612554073334,0.23211213946342468,0.2508028447628021
BOW2ITM,0.008685525866805877,0.23020707070827484,0.20617133585943115,0.12924371819850827,0.9429963231086731,0.23020707070827484,0.6185140013694763,0.7108404636383057,0.7829475998878479,0.8545675873756409,0.004362855106592178,0.23020707070827484,0.12370280176401138,0.07108404487371445,0.5325074791908264,0.2309378832578659,0.47971582412719727,0.5123029947280884,0.5196083784103394
BiVAECF,0.0029410604190692486,0.19536451748841127,0.12682017939919066,0.08013667748181183,1.0,0.19506953223767384,0.36809102402022753,0.4251580278128951,0.6152970922882427,0.7327433628318584,0.0014727871023864263,0.1959544879898862,0.07726927939317114,0.044450063211123825,0.42705644814978966,0.1959544879898862,0.3195261464724092,0.39218018379882663,0.40161297403090523
GridSearch_BPR,0.0029410604190692486,0.16468605141171513,0.06494491601950587,0.04826648277975796,1.0,0.16447534766118838,0.19393173198482933,0.2640960809102402,0.3638432364096081,0.5029077117572692,0.0014727871023864263,0.16510745891276865,0.03903919089759792,0.02657395701643447,0.32352057415764246,0.16510745891276865,0.20162714359422046,0.25388315854240734,0.27990343704547743
GridSearch_EASEᴿ,0.0029410604190692486,0.6790139064475346,0.24386551080610172,0.13538703184721013,1.0,0.6737968815844924,0.7097345132743362,0.7187104930467763,0.729709228824273,0.7396965865992414,0.0014727871023864263,0.6900126422250316,0.14826801517066918,0.07504424778761036,0.7382857976560373,0.6900126422250316,0.7025763870124153,0.7073564088816735,0.709298940987285
MF,0.0029410604190692486,0.0,0.003106375293480225,0.0044094548519327285,1.0,0.0,0.009228824273072062,0.024146649810366624,0.03729456384323641,0.08634639696586599,0.0014727871023864263,0.0,0.0018710493046776243,0.0024273072060682632,0.1410752794104679,0.0,0.008963597512642512,0.02167662851747295,0.05106099254880657
MostPop,0.0029410604190692486,0.16468605141171513,0.06494491601950587,0.0482205110523703,1.0,0.16447534766118838,0.19393173198482933,0.2638432364096081,0.3638432364096081,0.5026548672566372,0.0014727871023864263,0.16510745891276865,0.03903919089759792,0.02654867256637126,0.3228403291768725,0.16510745891276865,0.2015540551425598,0.2532264466723797,0.2793053807618704
USEM2ITM,0.00955993850562695,0.0789281353354454,0.06252537771231598,0.06005979421710179,0.7956150770187378,0.0789281353354454,0.18757613003253937,0.33032888174057007,0.3827040195465088,0.5403167009353638,0.004808860365301371,0.0789281353354454,0.03751522675156593,0.03303288668394089,0.2966582179069519,0.0789281353354454,0.18821413815021515,0.23306792974472046,0.25368088483810425
online_ibpr,0.0029410604190692486,0.084787189211968,0.046956835831678,0.028686357889898016,1.0,0.0843236409608091,0.1390644753476612,0.15524652338811631,0.19254108723135271,0.2632111251580278,0.0014727871023864263,0.08571428571428572,0.028318584070796727,0.01582806573957032,0.23521386081397988,0.08571428571428572,0.11942278971057056,0.14270456772698403,0.15784420089152276
