Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.4522446509132259,0.7149516344070435,0.30955987754795283,0.17514381871735754,0.8746066689491272,0.7149516344070435,0.9286796450614929,0.9632909893989563,0.9838014245033264,0.9980188608169556,0.3049697279930115,0.7149516344070435,0.18573592603206635,0.09632910043001175,0.8538796305656433,0.7149516344070435,0.8453937768936157,0.8535475134849548,0.8538796305656433
BERT2ITM,0.06924551892054974,0.7269548773765564,0.3094045047958691,0.17440221526406027,0.9888125061988831,0.7269548773765564,0.9282134771347046,0.9592121839523315,0.9819368124008179,0.9962708353996277,0.035879045724868774,0.7269548773765564,0.18564270436763763,0.09592121839523315,0.8576497435569763,0.7269548773765564,0.8483626842498779,0.8570342063903809,0.8576497435569763
BOW2ITM,0.10819495372564107,0.701083779335022,0.30373305082321167,0.17251644597565832,0.981004536151886,0.701083779335022,0.911199152469635,0.9488404393196106,0.9764596223831177,0.9948723912239075,0.057254791259765625,0.701083779335022,0.182239830493927,0.09488404542207718,0.8410553932189941,0.701083779335022,0.8293712139129639,0.8402059078216553,0.8410553932189941
BiVAECF,0.0315228300220681,0.15229132115587124,0.20396468132274645,0.15664200701438968,1.0,0.14289244382002547,0.5314591301180485,0.7218283533549513,0.836718441412228,0.8873594761502676,0.016152403658123506,0.1759797347638206,0.1309193860825586,0.08994188645508157,0.4895537125579703,0.1759797347638206,0.42713865135767914,0.4696450091582297,0.4895537125579703
GridSearch_BPR,0.0315228300220681,0.2662261545140413,0.2139878970679094,0.16113871598860394,1.0,0.2524337559987984,0.5558072153512474,0.7427870139761066,0.8689177682695788,0.9706170631964105,0.016152403658123506,0.29995529727313364,0.137505587840867,0.09254954552228527,0.5524463922566352,0.29995529727313364,0.49067265146316286,0.5472287574747208,0.5524463922566352
GridSearch_EASEᴿ,0.0315228300220681,0.2613497729277804,0.22464660540207443,0.1636161624339857,1.0,0.2474729950590478,0.5814597214239596,0.749045987043305,0.869196095961854,0.9635854898259907,0.016152403658123506,0.29563403367605423,0.14462822232157105,0.09418864550738465,0.555077327499603,0.29563403367605423,0.4955748687738332,0.5487547693632897,0.555077327499603
MF,0.0315228300220681,0.051964565509491786,0.15392228675644587,0.10291481699298807,1.0,0.048287991996083204,0.4042112215670552,0.4794899631734678,0.5841287580447168,0.8803568767694832,0.016152403658123506,0.06198778125465653,0.09846520637759064,0.05899269855461442,0.3600408992327438,0.06198778125465653,0.24852722992785903,0.33869098683754373,0.3600408992327438
MostPop,0.0315228300220681,0.2638072402936071,0.21442240684528902,0.16116793725162054,1.0,0.25021103707961095,0.5570253646583552,0.742965824883572,0.8699893919719578,0.9707577940032119,0.016152403658123506,0.29712412457159887,0.13774400238415416,0.09256444643124072,0.5510604687444142,0.29712412457159887,0.48928388940063683,0.5458682622277008,0.5510604687444142
USEM2ITM,0.10557580256235084,0.7314998507499695,0.3048984209696452,0.17266476646927761,0.9672532081604004,0.7314998507499695,0.9146952629089355,0.9496561884880066,0.9741289019584656,0.9945228099822998,0.05583510547876358,0.7314998507499695,0.1829390525817871,0.0949656218290329,0.8542118668556213,0.7314998507499695,0.8429533243179321,0.8533077836036682,0.8542118668556213
online_ibpr,0.0315228300220681,0.01818904286494811,0.026102083813304252,0.030307258224146094,1.0,0.01665838838391364,0.06611485999058639,0.13572108573226138,0.24411420009318985,0.5447046190452535,0.016152403658123506,0.022053345254060497,0.017016838027119813,0.017538369840559946,0.23719056893314808,0.022053345254060497,0.06730759627813677,0.15911460409631853,0.23719056893314808
