Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.7002027396800831,0.764950156211853,0.31428570714261794,0.17780126569684868,0.6023255586624146,0.764950156211853,0.9428571462631226,0.9779070019721985,0.9928571581840515,0.9991694092750549,0.8360617756843567,0.764950156211853,0.18857142329216003,0.09779069572687149,0.8802942633628845,0.764950156211853,0.8750119209289551,0.8801512122154236,0.8802942633628845
BERT2ITM,0.08152251597628551,0.7700996398925781,0.3169988865653673,0.1772576294654657,0.9936876893043518,0.7700996398925781,0.9509966969490051,0.974916934967041,0.9883720874786377,0.999501645565033,0.04250481352210045,0.7700996398925781,0.1901993304491043,0.09749169647693634,0.885018527507782,0.7700996398925781,0.8792068362236023,0.8849341869354248,0.885018527507782
BOW2ITM,0.10403404363791545,0.7220930457115173,0.31013289756245066,0.1754454857061717,0.9908638000488281,0.7220930457115173,0.9303986430168152,0.9649501442909241,0.9863787293434143,0.9983388781547546,0.05489903688430786,0.7220930457115173,0.186079740524292,0.09649501740932465,0.8579225540161133,0.7219269275665283,0.8497676253318787,0.8576986789703369,0.857900857925415
BiVAECF,0.04393606895000145,0.1483124332285734,0.188461598905952,0.15913798482959823,1.0,0.13870460839530754,0.4798940646468419,0.716601148554971,0.8758419682401382,0.9765846220866914,0.0226310746279622,0.1712045306033544,0.12175996514920286,0.09157046395121267,0.47650332514630783,0.1712045306033544,0.4071620976319325,0.47229838782540334,0.47650332514630783
GridSearch_BPR,0.04393606895000145,0.18835454460590542,0.19821325241713575,0.1590711032698341,1.0,0.17703322235014687,0.5051850929873145,0.7171405060971602,0.8795094266560177,0.9880744935743847,0.0226310746279622,0.21520365933347854,0.12785885428011207,0.09150511871052439,0.5068888325961218,0.21520365933347854,0.4369628488682414,0.5047382099722816,0.5068888325961218
GridSearch_EASEᴿ,0.04393606895000145,0.20538787067865633,0.2101211417155729,0.16242200162726667,1.0,0.1927366517651859,0.5316462851749284,0.7271637399605159,0.8791463975410826,0.9830646917882816,0.0226310746279622,0.23589631888477455,0.13604879111304757,0.09357438466565424,0.5178639058370467,0.23589631888477455,0.4515171768950008,0.5148717042746238,0.5178639058370467
MF,0.04393606895000145,0.002700936615116532,0.0523202746574564,0.05580149745017066,1.0,0.002341537791330865,0.1354651785930374,0.25206701863203723,0.5653296822976634,0.943479997095767,0.0226310746279622,0.003485079503376171,0.0335438902199956,0.03214985841864439,0.2721611180131326,0.003485079503376171,0.10124534167657054,0.26189925847245205,0.2721611180131326
MostPop,0.04393606895000145,0.18820933295993142,0.1972157867060999,0.15974486499783222,1.0,0.17692431361566635,0.5026983435500099,0.7209160088924843,0.8769500713957259,0.9884556741450664,0.0226310746279622,0.21498584186451752,0.12720540187322896,0.09187540840775821,0.5068088918768493,0.21498584186451752,0.4379165120935851,0.5047214287510265,0.5068088918768493
USEM2ITM,0.11977433280840481,0.764451801776886,0.31423034684525597,0.17647236536357028,0.9803986549377441,0.764451801776886,0.9426910281181335,0.9705979824066162,0.9868770837783813,0.9986711144447327,0.06378334015607834,0.764451801776886,0.18853820860385895,0.09705980122089386,0.8794837594032288,0.764451801776886,0.8726711869239807,0.8792582750320435,0.8794837594032288
online_ibpr,0.04393606895000145,0.01975241414361432,0.025399072719917835,0.030095292968356297,1.0,0.01791393098297912,0.06226122192142668,0.13067578734100185,0.30080506028011994,0.8445218906556303,0.0226310746279622,0.024613373992594206,0.016771945109997938,0.017534306251361313,0.2522309269190558,0.024613373992594206,0.06542649822028557,0.22449373586305998,0.2522309269190558
