Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.43912247213951366,0.7385156154632568,0.30941093795829344,0.17539792464784354,0.883521318435669,0.7385156154632568,0.9282327890396118,0.9646885991096497,0.9839790463447571,0.995586097240448,0.29216670989990234,0.7385156154632568,0.18564656376838684,0.09646885842084885,0.8635098934173584,0.7385156154632568,0.8555105924606323,0.8627889156341553,0.8634742498397827
BERT2ITM,0.04393292250172386,0.7507765293121338,0.3086207823620902,0.17432788531642315,0.9932973384857178,0.7507765293121338,0.9258623719215393,0.9588033556938171,0.9784207940101624,0.9935426115989685,0.022463228553533554,0.7507765293121338,0.18517246842384338,0.09588033705949783,0.8679625988006592,0.7508582472801208,0.858952522277832,0.8669196963310242,0.8678736686706543
BOW2ITM,0.059671567817062975,0.706146776676178,0.30289903117550737,0.17264851065706613,0.9901095032691956,0.706146776676178,0.9086970686912537,0.9495667815208435,0.9748242497444153,0.9933791160583496,0.03076278418302536,0.706146776676178,0.1817394196987152,0.09495668113231659,0.8435728549957275,0.7060650587081909,0.8322452306747437,0.8425130248069763,0.843317449092865
BiVAECF,0.02048834698809644,0.18339324541339747,0.1696804871217944,0.13568434933533438,1.0,0.17357503849392977,0.4384763667720795,0.6175784220217966,0.7810418497855643,0.9119534789435506,0.010459630828198457,0.20940735844899758,0.11002423441287476,0.07855254461335955,0.47426834319262,0.20940735844899758,0.3871233884163604,0.45938102148509385,0.46891503645462335
GridSearch_BPR,0.02048834698809644,0.2168751095628103,0.18944397909767768,0.1434965452762684,1.0,0.20438211787999125,0.4920546240533884,0.6568833984769068,0.7809424904413271,0.9124864262048527,0.010459630828198457,0.2488433575677462,0.12218550341485979,0.08284864507601733,0.5052388381548427,0.2488433575677462,0.42778483792232436,0.49007684303203947,0.5025908169548893
GridSearch_EASEᴿ,0.02048834698809644,0.2318950330923174,0.20753603529186498,0.15090425343167826,1.0,0.21822707533863017,0.5317925916499152,0.6824305334140393,0.7962258881732145,0.9121010554794574,0.010459630828198457,0.2672394800616876,0.13491958581186583,0.08751927737388102,0.5241116011679576,0.2672394800616876,0.4533504536994604,0.5094749439233214,0.5209789951845107
MF,0.02048834698809644,0.12928968194665474,0.0871866449658787,0.07325519985897033,1.0,0.12270170864850313,0.2292613202258593,0.3432522159382129,0.4779611950626207,0.7713960851669558,0.010459630828198457,0.1462877285745759,0.05613571271204895,0.042145847102887914,0.35159453747392916,0.1462877285745759,0.21717323800467433,0.31299983559861766,0.34360250171222406
MostPop,0.02048834698809644,0.2168751095628103,0.18902984340594794,0.14382662020978032,1.0,0.20438211787999125,0.49115134139200917,0.6585527928264068,0.7810867428988646,0.9127801766638377,0.010459630828198457,0.2488433575677462,0.12189909671734928,0.08303591099362037,0.5051835093330092,0.2488433575677462,0.4281502647287516,0.4900876544129403,0.5027789368999617
USEM2ITM,0.06013493884600524,0.7520025968551636,0.30352569868167234,0.1722175158745001,0.9791564345359802,0.7520025968551636,0.9105770587921143,0.947196364402771,0.9697564244270325,0.9889651536941528,0.031020017340779305,0.7520025968551636,0.18211542069911957,0.09471963346004486,0.8629212379455566,0.7520025968551636,0.8516348004341125,0.861214280128479,0.8622215986251831
online_ibpr,0.02048834698809644,0.009330097110328017,0.016793645544515845,0.017621567258204743,1.0,0.00865701760267696,0.04036953678502286,0.07556507241663422,0.1375007792293491,0.36834109369742585,0.010459630828198457,0.011346111478299184,0.011412205331570934,0.01048689138576767,0.20622183385313594,0.011346111478299184,0.03826018911266186,0.1033814818419582,0.16831304387665888
