Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.5414136910433104,0.7634771466255188,0.3166104116373592,0.17717446719319363,0.8866186141967773,0.7634771466255188,0.9498312473297119,0.9744595289230347,0.9899662733078003,0.999361515045166,0.38968849182128906,0.7634771466255188,0.18996624648571014,0.09744595736265182,0.8827409744262695,0.7634771466255188,0.8767202496528625,0.8826321959495544,0.8827409744262695
BERT2ITM,0.07524294582326754,0.7661224007606506,0.3168840689791573,0.17712471110761657,0.9940709471702576,0.7661224007606506,0.9506521821022034,0.9741858839988708,0.9882331490516663,0.9979020357131958,0.03910129517316818,0.7661224007606506,0.19013044238090515,0.09741859138011932,0.8845440745353699,0.7660312056541443,0.8786603808403015,0.884260356426239,0.8845440745353699
BOW2ITM,0.08971704428547654,0.7169570326805115,0.3091003017293082,0.175134539604187,0.990148663520813,0.7169570326805115,0.9273009300231934,0.9632399678230286,0.9842196702957153,0.9969898462295532,0.046987272799015045,0.7169570326805115,0.1854601800441742,0.09632399678230286,0.855545699596405,0.7170482277870178,0.847109854221344,0.8550369739532471,0.855545699596405
BiVAECF,0.040274551954870966,0.2192102850011087,0.21811071238140162,0.16920715406887812,1.0,0.2027270174924622,0.5356805642020971,0.7260670340938221,0.8884361152817958,0.9503060875721734,0.020770764516167536,0.2609587285311459,0.14370674186107302,0.09873109459114082,0.531720433279101,0.2609587285311459,0.4639011187425697,0.5225347008565261,0.531720433279101
GridSearch_BPR,0.040274551954870966,0.23207420267789505,0.22434933832010356,0.1709561141820212,1.0,0.21434034008373906,0.5479684696231738,0.7317880946277513,0.8969462958215842,0.986725625907887,0.020770764516167536,0.27710843373493976,0.1482184055370542,0.09983337605743169,0.5433566634011369,0.27710843373493976,0.4750411179437806,0.5408893861652648,0.5433566634011369
GridSearch_EASEᴿ,0.040274551954870966,0.24619542922542298,0.23052570560259647,0.174594191861824,1.0,0.2265798757339386,0.5609170725455013,0.742593474200754,0.8960577873805255,0.9810839101085194,0.020770764516167536,0.29594975647269933,0.1526018969495133,0.1021532940271833,0.556397594705997,0.29594975647269933,0.49155657428457034,0.5530096150645034,0.556397594705997
MF,0.040274551954870966,0.0016157935601667976,0.1267721021181726,0.08534504192102954,1.0,0.0013160544915223201,0.3157821254623357,0.3724281624980165,0.5708588152000093,0.9549886475995167,0.020770764516167536,0.00269161753396565,0.08300435785696102,0.0496667521148445,0.34563319817161453,0.00269161753396565,0.19985706506514456,0.3373307686173876,0.34563319817161453
MostPop,0.040274551954870966,0.23207420267789505,0.2241280885794998,0.1709363612271234,1.0,0.21434034008373906,0.5475412287447665,0.731538158713883,0.8971385542168675,0.9864936951453229,0.020770764516167536,0.27710843373493976,0.14806459882082756,0.09983337605743169,0.5433286600471819,0.27710843373493976,0.47494016304700526,0.5408218541378493,0.5433286600471819
USEM2ITM,0.0987667863816413,0.7733284831047058,0.31639757504065824,0.17664375581031988,0.984766960144043,0.7733284831047058,0.9491927623748779,0.971540629863739,0.9872297644615173,0.9969898462295532,0.051990579813718796,0.7733284831047058,0.18983854353427887,0.09715406596660614,0.8861066699028015,0.7733284831047058,0.8795891404151917,0.8856038451194763,0.8861066699028015
online_ibpr,0.040274551954870966,0.0074148764164144836,0.018746327442815555,0.029913528261425758,1.0,0.006875526421796609,0.04417792751553325,0.12263720535638001,0.2537392732022312,0.6619470282345186,0.020770764516167536,0.008972058446552167,0.012714688541399751,0.017700589592411775,0.23776740722974946,0.008972058446552167,0.05426267303047496,0.17740153047578264,0.23776740722974946
