Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.5621766214664012,0.7810972332954407,0.31690204971366454,0.17759617054757992,0.8852525949478149,0.7810972332954407,0.9507061243057251,0.9767789244651794,0.9929386377334595,1.0,0.4118650555610657,0.7810972332954407,0.1901412308216095,0.09767789393663406,0.8901392817497253,0.7810972332954407,0.8845361471176147,0.8901392817497253,0.8901392817497253
BERT2ITM,0.10666121259329502,0.7956273555755615,0.3174452260136603,0.17749740368078562,0.9913090467453003,0.7956273555755615,0.9523357152938843,0.9762357473373413,0.991173267364502,0.9997283816337585,0.0563628226518631,0.7956273555755615,0.19046713411808014,0.09762357175350189,0.8970789313316345,0.7956273555755615,0.8914504051208496,0.8970314264297485,0.8970789313316345
BOW2ITM,0.14283749415032984,0.7505431771278381,0.3127828993731075,0.17660856246948242,0.9869636297225952,0.7505431771278381,0.9383487105369568,0.9713470935821533,0.9885931611061096,0.9997283816337585,0.07698989659547806,0.7505431771278381,0.18766973912715912,0.09713470935821533,0.8733927011489868,0.7505431771278381,0.8666979074478149,0.8733450770378113,0.8733927011489868
BiVAECF,0.05428915100399223,0.3542839266561132,0.26662307223622206,0.18657395317431977,1.0,0.33435299158395315,0.678899302540704,0.8395558449813008,0.929251579072816,0.9997616493862472,0.028272271096451466,0.40078655702538435,0.17229174115124424,0.1075080443332231,0.6374529640958072,0.40078655702538435,0.5977890993255521,0.6374068882441927,0.6374529640958072
GridSearch_BPR,0.05428915100399223,0.37936197100480445,0.26700667742855105,0.18680080881953362,1.0,0.3583102076487844,0.6805176748330125,0.8411847160506439,0.9293239355091337,1.0,0.028272271096451466,0.4288523417947801,0.17236324633536998,0.10759742581338037,0.6484302343293509,0.4288523417947801,0.608817061544618,0.6484302343293509,0.6484302343293509
GridSearch_EASEᴿ,0.05428915100399223,0.37546493846994594,0.27845110536385975,0.18850257615590704,1.0,0.3541629069694852,0.7075745838795531,0.8472114396944569,0.9320415581320122,0.9983315457037303,0.028272271096451466,0.4252770825884877,0.18008580622096296,0.10865212727923684,0.6548904595720243,0.4252770825884877,0.6168846272809396,0.6545870130229678,0.6548904595720243
MF,0.05428915100399223,0.004034084137766654,0.1375806045541509,0.1305065769136834,1.0,0.003715290191872244,0.3515921253497228,0.5853871211218371,0.8512134599996591,0.9998212370396854,0.028272271096451466,0.004826599928494816,0.08888094386842711,0.07525920629246004,0.3654829302723326,0.004826599928494816,0.26067256383353266,0.36545157076865326,0.3654829302723326
MostPop,0.05428915100399223,0.37140701927080405,0.26831605807293313,0.1869107751254242,1.0,0.3508259983769456,0.6846547604860082,0.8415243656752417,0.9303279874695676,1.0,0.028272271096451466,0.4197354308187344,0.1731498033607545,0.10766893099750627,0.6446996556991778,0.4197354308187344,0.6051443788294556,0.6446996556991778,0.6446996556991778
USEM2ITM,0.15083857801983522,0.8009234070777893,0.3174904982248942,0.17737395457984984,0.9807170033454895,0.8009234070777893,0.9524714946746826,0.9755567908287048,0.990222692489624,0.9998642206192017,0.08170238137245178,0.8009234070777893,0.19049429893493652,0.09755567461252213,0.899058997631073,0.8009234070777893,0.8933619260787964,0.8990352749824524,0.899058997631073
online_ibpr,0.05428915100399223,0.02984277372014232,0.04980493427043317,0.06591063504193954,1.0,0.027313703457786404,0.12251491110089607,0.2940307358791448,0.49563733251613123,0.9991061851984269,0.028272271096451466,0.036110117983553805,0.03274937432963857,0.03807651054701337,0.2960591008887013,0.036110117983553805,0.13685866548069744,0.2959023033703049,0.2960591008887013
