Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.02580483618413273,0.3229421377182007,0.17612788867619303,0.11100257649894588,0.7696564197540283,0.3229421377182007,0.5283836722373962,0.6105141639709473,0.6907078623771667,0.7887018918991089,0.013122400268912315,0.3229421377182007,0.10567673295736313,0.061051417142152786,0.5279213786125183,0.3229421377182007,0.4590192437171936,0.4989200830459595,0.5098445415496826
BERT2ITM,0.0036359910186970464,0.3040350377559662,0.17480593298872307,0.11070911918789884,0.969610333442688,0.3040350377559662,0.5244178175926208,0.6089001893997192,0.6898778080940247,0.790961503982544,0.001821410609409213,0.3040350377559662,0.10488355904817581,0.060890015214681625,0.5160834789276123,0.30140650272369385,0.44776690006256104,0.4874613285064697,0.4982684552669525
BOW2ITM,0.0035666420893298288,0.28328338265419006,0.15909614745113582,0.10156999934803355,0.9537007212638855,0.28328338265419006,0.47728845477104187,0.5586349964141846,0.6375835537910461,0.7381600141525269,0.0017866619164124131,0.28328338265419006,0.09545768797397614,0.05586349964141846,0.4868667423725128,0.28296056389808655,0.41201332211494446,0.4521372318267822,0.46311497688293457
BiVAECF,0.002139011904523923,0.009723778953528392,0.012837101269500675,0.011767617810756381,1.0,0.00907495438849012,0.03250388323800758,0.05202521803178044,0.07942581861560968,0.15784928912485516,0.0010726077823794916,0.011666445711255469,0.008511202439347821,0.006913694816385953,0.16314536362940865,0.011666445711255469,0.028739482986548697,0.0527096857260392,0.06933447078649049
GridSearch_BPR,0.002139011904523923,0.008742870840179608,0.013214125110332028,0.012194257212735801,1.0,0.008089419124484748,0.032696673272372585,0.05319896535044273,0.0819114828594852,0.1527895239442619,0.0010726077823794916,0.01080471960758319,0.008842635556144833,0.007198727296831378,0.16156592731229855,0.01080471960758319,0.02866735777112658,0.05131648483874656,0.06757254637646587
GridSearch_EASEᴿ,0.002139011904523923,0.02975102824038696,0.029621537424897804,0.024712083037815257,1.0,0.027318562517898805,0.07013502996449132,0.10102102150364255,0.1394648283038397,0.2161837444147924,0.0010726077823794916,0.03791594856158027,0.020721198462149756,0.01504706350258466,0.1909581593029537,0.03791594856158027,0.06410658094557181,0.09120021370690867,0.10554644168799353
MF,0.002139011904523923,0.00048610190463564457,0.001332045478936636,0.0015831715638550254,1.0,0.0004087675107163374,0.003382034172170723,0.00706599217801657,0.018266692010042634,0.035849683065748456,0.0010726077823794916,0.0006628662335940607,0.0008749834283441592,0.0009280127270316828,0.12598664445360805,0.0006628662335940607,0.0031138639357113653,0.009842450813179167,0.017245052598691343
MostPop,0.002139011904523923,0.008676584216820202,0.013214125110332028,0.011973504021693422,1.0,0.008023132501125341,0.032696673272372585,0.05222392234139469,0.0821809982440079,0.15314186891247586,0.0010726077823794916,0.010738432984223783,0.008842635556144833,0.007066154050112574,0.16151670726490644,0.010738432984223783,0.028318341129456595,0.05131538010824461,0.06748909251509667
USEM2ITM,0.0034685709103191424,0.2863730788230896,0.15966489911079407,0.1013771573866694,0.9576665759086609,0.2863730788230896,0.4789946973323822,0.5575743317604065,0.6340327262878418,0.7387595176696777,0.0017374318558722734,0.2863730788230896,0.09579893946647644,0.05575743690133095,0.4884651303291321,0.2863730788230896,0.41327404975891113,0.45349153876304626,0.46539443731307983
online_ibpr,0.002139011904523923,0.010132909940678732,0.00744010293468731,0.005779169212081415,1.0,0.009978473843978285,0.021123982649051423,0.02877446332750505,0.038979731980589565,0.06575722186470569,0.0010726077823794916,0.010539573114145566,0.004626806310486573,0.0032811878562906288,0.1401660492509523,0.010539573114145566,0.018690531532948054,0.02702773796693233,0.03388895938670721
