Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.2686466454159387,0.4334745705127716,0.2268361565139558,0.14106316999955612,0.16864407062530518,0.4334745705127716,0.6805084943771362,0.7758474349975586,0.8622881174087524,0.9563559293746948,0.6600331664085388,0.4334745705127716,0.13610169291496277,0.07758474349975586,0.6426919102668762,0.4334745705127716,0.5949940085411072,0.635715126991272,0.641019880771637
BERT2ITM,0.02906545935377789,0.42584747076034546,0.21906780451536165,0.13736517616539948,0.9555084705352783,0.42584747076034546,0.6572033762931824,0.7555084824562073,0.8402542471885681,0.930084764957428,0.014757177792489529,0.42584747076034546,0.1314406841993332,0.07555084675550461,0.6318095922470093,0.42584747076034546,0.5812944769859314,0.6207594275474548,0.6288483142852783
BOW2ITM,0.0319637976000565,0.380084753036499,0.20748587863312826,0.13120185245167126,0.939830482006073,0.380084753036499,0.6224576234817505,0.7216101884841919,0.8207626938819885,0.9220339059829712,0.016258373856544495,0.380084753036499,0.12449152767658234,0.07216101884841919,0.5974893569946289,0.37966102361679077,0.5396320223808289,0.5852048993110657,0.5943599939346313
BiVAECF,0.017698855269429752,0.08340540540540539,0.06893122793122772,0.05751900919675902,1.0,0.08030630630630632,0.183026532026532,0.2664031284031284,0.4002735372735372,0.6294188694188693,0.008966875593739248,0.09135135135135135,0.044216216216216554,0.033189189189189505,0.31031154340302336,0.09135135135135135,0.165791766225869,0.24957833983094452,0.2882245430940222
GridSearch_BPR,0.017698855269429752,0.0772792792792793,0.0704812724812723,0.05821263547094797,1.0,0.0747027027027027,0.18946346896346894,0.26830234630234623,0.39374200574200574,0.621103554103554,0.008966875593739248,0.08378378378378379,0.044864864864865205,0.03362162162162193,0.30896822297486803,0.08378378378378379,0.16539493885002643,0.24627124993174673,0.2884629301696606
GridSearch_EASEᴿ,0.017698855269429752,0.0771741741741742,0.0716224136224135,0.06028461596236587,1.0,0.07233397683397684,0.18197569547569542,0.269515741015741,0.3963242748242749,0.612833828333828,0.008966875593739248,0.09081081081081081,0.04691891891891928,0.03513513513513543,0.308030932276272,0.09081081081081081,0.16543547348964907,0.24527539807839188,0.2869592484067173
MF,0.017698855269429752,0.02925225225225225,0.017585519585519568,0.02010849599084895,1.0,0.027347490347490348,0.04398777348777349,0.08875353925353924,0.19792911592911594,0.4038461538461538,0.008966875593739248,0.034594594594594595,0.01167567567567565,0.01172972972972975,0.22239275177366977,0.034594594594594595,0.05285196226854952,0.1252453234382736,0.19175788567049784
MostPop,0.017698855269429752,0.0772792792792793,0.0704812724812723,0.058173291851041704,1.0,0.0747027027027027,0.18946346896346894,0.2686013266013266,0.3983546183546183,0.6268918423918421,0.008966875593739248,0.08378378378378379,0.044864864864865205,0.03362162162162193,0.30903377215283023,0.08378378378378379,0.16544242357627326,0.2473458417738649,0.28852326906068415
USEM2ITM,0.034820583259164706,0.43474575877189636,0.2104519804318746,0.12996918751188546,0.8953390121459961,0.43474575877189636,0.6313559412956238,0.7148305177688599,0.7978813648223877,0.8940678238868713,0.017755556851625443,0.43474575877189636,0.12627118825912476,0.0714830532670021,0.6212559342384338,0.43474575877189636,0.5646027326583862,0.6048242449760437,0.6154165267944336
online_ibpr,0.017698855269429752,0.025933075933075936,0.024794508794508813,0.020646601066038425,1.0,0.024744282744282742,0.06646114246114246,0.09814582714582715,0.16892050292050292,0.36064241164241156,0.008966875593739248,0.02918918918918919,0.015891891891891854,0.011837837837837857,0.2198780811855142,0.02918918918918919,0.05857260293602288,0.11672984579379121,0.17211698492143432
