Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.03116843604270562,0.37898558378219604,0.1945299390289518,0.11991763607529567,0.7534162402153015,0.37898558378219604,0.5835897922515869,0.659546971321106,0.7301797270774841,0.8135233521461487,0.015913382172584534,0.37898558378219604,0.11671796441078186,0.06595470011234283,0.5723490715026855,0.37898558378219604,0.5126242637634277,0.5471230149269104,0.556157112121582
BERT2ITM,0.0029743914371855866,0.3038594126701355,0.1875230806569258,0.11787517405738507,0.9727932810783386,0.3038594126701355,0.562569260597229,0.6483134031295776,0.7238705158233643,0.8068755269050598,0.00148947280831635,0.3038594126701355,0.11251384764909744,0.06483134627342224,0.5232858657836914,0.2915179133415222,0.4609734117984772,0.4972388744354248,0.5065914392471313
BOW2ITM,0.003011223399745232,0.3532254099845886,0.1826603454020288,0.11298445753814756,0.9630985856056213,0.3532254099845886,0.5479810237884521,0.6214144825935364,0.6904776692390442,0.7735750079154968,0.001507969107478857,0.3532254099845886,0.10959620773792267,0.062141451984643936,0.5445188879966736,0.3528560996055603,0.4808982312679291,0.5147638320922852,0.5241700410842896
BiVAECF,0.0017424934743670187,0.011237364217165917,0.016047648143109848,0.014708254016923503,1.0,0.010394579869844196,0.04020945418608911,0.06475093221764675,0.09967692407811186,0.1810612036401354,0.00087342179394338,0.01379280337640865,0.010607840577818156,0.008623765391811042,0.16909145352240154,0.01379280337640865,0.03549839810205378,0.062143081072669026,0.07916718442757265
GridSearch_BPR,0.0017424934743670187,0.0163828497535926,0.01848429545780085,0.016059913337296883,1.0,0.015392390535974918,0.047674069779539065,0.07171968833305473,0.10454099469301202,0.1741078183811603,0.00087342179394338,0.01910107470739242,0.012026280294130139,0.0093764956707128,0.17096815449011232,0.01910107470739242,0.04125740746304396,0.0647493750552238,0.07953291136877734
GridSearch_EASEᴿ,0.0017424934743670187,0.03203556888774879,0.03278170193233791,0.027103482012502993,1.0,0.029629077615203513,0.0789620345589059,0.11191317387241377,0.1569861778907884,0.23525571795090772,0.00087342179394338,0.03985554540312405,0.02262541878779889,0.01641213070530462,0.19555030925984515,0.03985554540312405,0.07083721746745067,0.09994653134723575,0.11331434435450104
MF,0.0017424934743670187,0.00020304863014692016,0.0006866390171441736,0.0008889256029590886,1.0,0.00019579689335595874,0.0016135114359889192,0.003636866862947009,0.01467413003439632,0.0379071977187976,0.00087342179394338,0.00021755210372884307,0.0004612104599051471,0.0005308271330983758,0.12262958523606084,0.00021755210372884307,0.0017292194868810662,0.009537234190678584,0.014834647214211781
MostPop,0.0017424934743670187,0.0163828497535926,0.01848429545780085,0.01598727309472352,1.0,0.015392390535974918,0.047674069779539065,0.07161721438578243,0.10450753310753375,0.17404653030040929,0.00087342179394338,0.01910107470739242,0.012026280294130139,0.009315581081668729,0.17092708302353932,0.01910107470739242,0.041200510507567296,0.06468256584889506,0.0797229634774234
USEM2ITM,0.0028547011540412904,0.3301427960395813,0.17469941203792885,0.10884916905529243,0.9679921269416809,0.3301427960395813,0.5240982174873352,0.5986704230308533,0.6707497239112854,0.7578173279762268,0.0014294583816081285,0.3301427960395813,0.1048196479678154,0.05986704304814339,0.524903416633606,0.3302043676376343,0.45738485455513,0.4930112063884735,0.5027317404747009
online_ibpr,0.0017424934743670187,0.006736863478803173,0.005682374501247641,0.0044334046053728935,1.0,0.0065787756167602135,0.01578765257136227,0.021570291084714786,0.030922976886297603,0.05256750087282726,0.00087342179394338,0.0070921985815602835,0.003567854501153053,0.0025323064874037573,0.13175985373172597,0.0070921985815602835,0.013531065475046422,0.020592874457354814,0.026369137118578658
