Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.03458566214192799,0.43273448944091797,0.20996620257695517,0.12770526813081473,0.8008882403373718,0.43273448944091797,0.6298986077308655,0.7023789882659912,0.7682702541351318,0.8468847274780273,0.017674459144473076,0.43273448944091797,0.1259797215461731,0.070237897336483,0.6155419945716858,0.43273448944091797,0.5622748732566833,0.5946553945541382,0.6025809049606323
BERT2ITM,0.002520842602776552,0.3705018162727356,0.2068961283398999,0.12748684420073328,0.9839094281196594,0.3705018162727356,0.6206883788108826,0.7011776566505432,0.7687435150146484,0.8472851514816284,0.0012620380148291588,0.3705018162727356,0.12413767725229263,0.0701177641749382,0.5740704536437988,0.3474944829940796,0.5196211338043213,0.5533387660980225,0.561211109161377
BOW2ITM,0.002691948806992188,0.3885764181613922,0.1927653091649214,0.11851490972455864,0.9732430577278137,0.3885764181613922,0.5782959461212158,0.6518320441246033,0.7194342613220215,0.8023262023925781,0.0013478384353220463,0.3885764181613922,0.1156591847538948,0.06518319994211197,0.5733696818351746,0.3882487714290619,0.5134545564651489,0.547068178653717,0.5559471249580383
BiVAECF,0.0012836451355991894,0.016756178989065194,0.019701774129993122,0.016452917979435933,1.0,0.015942116799570912,0.05322759360022613,0.07913480189498076,0.1175619558139961,0.1963431881653322,0.0006424164999173932,0.018825161887141537,0.012442183163736947,0.009359389454209582,0.17249060245895867,0.018825161887141537,0.04493526858156603,0.07126971524898149,0.08619014191487298
GridSearch_BPR,0.0012836451355991894,0.01829582221613939,0.023007339479299005,0.01900995012164734,1.0,0.017588256023963706,0.061975652211806606,0.0915745483690979,0.13439984817397432,0.21640009501350663,0.0006424164999173932,0.020004625346901016,0.014560592044403468,0.010811748381129407,0.17878175228490067,0.020004625346901016,0.051538561338432445,0.07975558385744932,0.09586370272839112
GridSearch_EASEᴿ,0.0012836451355991894,0.03266784011498443,0.034659148358927125,0.028435754732752838,1.0,0.031017666190222056,0.09085568010941401,0.13178621361032705,0.18504686429080192,0.2788590239435228,0.0006424164999173932,0.0372109158186864,0.022377428307124903,0.016431544865867023,0.2013617067907854,0.0372109158186864,0.07818011018051924,0.11203151443311887,0.1263467683197098
MF,0.0012836451355991894,0.00031991982732038234,0.0016644491031632567,0.0014751830849255207,1.0,0.0003083564600678384,0.0043619590913762975,0.0068714667488950585,0.011420919740082271,0.035501286572503114,0.0006424164999173932,0.0003469010175763182,0.001068455134135063,0.0008487511563367309,0.11720733612205861,0.0003469010175763182,0.002954973582654387,0.009134205379126759,0.014462311831678282
MostPop,0.0012836451355991894,0.01829582221613939,0.02300733947929901,0.018938515620286863,1.0,0.017588256023963706,0.061975652211806606,0.09124383606567515,0.1345829348221396,0.21611541592447972,0.0006424164999173932,0.020004625346901016,0.014560592044403468,0.01077243293247075,0.17878147462178234,0.020004625346901016,0.051454511393739105,0.0796904628887885,0.09586867113687444
USEM2ITM,0.0029023244784690595,0.41263946890830994,0.2004647631612089,0.12271461210960197,0.9811426997184753,0.41263946890830994,0.6013942956924438,0.6749303936958313,0.7455541491508484,0.8285552859306335,0.0014533117646351457,0.41263946890830994,0.12027885764837265,0.06749303638935089,0.5954541563987732,0.4127122759819031,0.5375981330871582,0.5720770359039307,0.5809441208839417
online_ibpr,0.0012836451355991894,0.0025088652482269506,0.0022682938143160124,0.002002435423232095,1.0,0.0024227456940222897,0.006196092683141712,0.009597264437689967,0.015459552075532646,0.03125181603410827,0.0006424164999173932,0.00272895467160037,0.0014246068455134213,0.0011424606845513512,0.11814527298868174,0.00272895467160037,0.005554912284534473,0.010387115757204352,0.014711597048282656
