Model,F1@-1,F1@1,F1@5,F1@10,Recall@-1,Recall@1,Recall@5,Recall@10,Recall@20,Recall@50,Precision@-1,Precision@1,Precision@5,Precision@10,NDCG@-1,NDCG@1,NDCG@10,NDCG@50,NDCG@100
ATT2ITM,0.010346175350535208,0.2855415344238281,0.14981210231781006,0.09502548398065173,0.7871972322463989,0.2855415344238281,0.4494363069534302,0.5226401686668396,0.5958068370819092,0.6944599747657776,0.0052073076367378235,0.2855415344238281,0.08988726139068604,0.0522640161216259,0.47373729944229126,0.2855415344238281,0.39607900381088257,0.4342045783996582,0.44609421491622925
BERT2ITM,0.0014138506672147768,0.19646909832954407,0.1353325686521,0.09087188677354292,0.9553707838058472,0.19646909832954407,0.40599769353866577,0.4997953772544861,0.5871005058288574,0.6936414241790771,0.0007074488094076514,0.19646909832954407,0.0811995416879654,0.04997953772544861,0.4163910448551178,0.19137179851531982,0.33198222517967224,0.3761236369609833,0.3869918882846832
BOW2ITM,0.0013219670414790568,0.2354615479707718,0.12910666647884578,0.08261203100858641,0.9493805170059204,0.2354615479707718,0.38732001185417175,0.45436617732048035,0.5236819386482239,0.6176842451095581,0.000661444035358727,0.2354615479707718,0.07746399939060211,0.045436616986989975,0.4204726219177246,0.2354801446199417,0.33720746636390686,0.37345564365386963,0.3847646117210388
BiVAECF,0.0008265378152638685,0.006160274807881593,0.006673756924290354,0.006509587128045806,1.0,0.005806396563015299,0.016915954996269147,0.028747104229530713,0.045596190071256745,0.08489176489279968,0.00041355846956961975,0.007176454777583658,0.004413385297675022,0.0038247547372663965,0.1361320328029295,0.007176454777583658,0.016175943556960393,0.029043030070032855,0.03829834469455483
GridSearch_BPR,0.0008265378152638685,0.010407394275153997,0.008759465114622585,0.0073918017113808925,1.0,0.009693292271724961,0.021778133511735902,0.032543423183388424,0.04895606552873267,0.08736157100178167,0.00041355846956961975,0.012498320118263673,0.005837925010079189,0.004346190028221885,0.1383473467953783,0.012498320118263673,0.020315836266447087,0.03294186704718375,0.04151876846461891
GridSearch_EASEᴿ,0.0008265378152638685,0.022215319883899607,0.025116422542219814,0.020078783513819573,1.0,0.01991457585986037,0.05663975030734201,0.07804181602778613,0.10565756347852837,0.15380846503952947,0.00041355846956961975,0.030802311517269185,0.018271737669668508,0.012511759172155197,0.16437053325414616,0.030802311517269185,0.05059795222744395,0.06863209207703884,0.07727435862776608
MF,0.0008265378152638685,0.0001747077005778793,0.0004888138705146224,0.0008674358921067524,1.0,0.0001702280159476773,0.001126620322292947,0.003515102839790382,0.00746159300688262,0.0152387365391152,0.00041355846956961975,0.00018814675446848542,0.0003386641580432734,0.0005214352909555168,0.10785509872088972,0.00018814675446848542,0.001528858864065976,0.004147420798347443,0.006617678365445689
MostPop,0.0008265378152638685,0.010407394275153997,0.00878508658359844,0.007377460631924058,1.0,0.009693292271724961,0.021814866925703558,0.032508630966093854,0.04944450900897832,0.08742575150911498,0.00041355846956961975,0.012498320118263673,0.005859427496304158,0.0043354387851094,0.1383475437593051,0.012498320118263673,0.020300587107632766,0.03295214128206962,0.04153750927622374
USEM2ITM,0.0013337822766681742,0.2410983294248581,0.1299190144571993,0.08313630804542667,0.964970052242279,0.2410983294248581,0.38975703716278076,0.4572497010231018,0.5272538065910339,0.6284555792808533,0.0006673523457720876,0.2410983294248581,0.07795140892267227,0.04572496935725212,0.42580369114875793,0.24107973277568817,0.34119266271591187,0.37893614172935486,0.39133498072624207
online_ibpr,0.0008265378152638685,0.005547193477579177,0.003908750763340195,0.0029766808581159795,1.0,0.005434113438413936,0.011071360212604667,0.015059580775210397,0.020735527033402566,0.03347981383561168,0.00041355846956961975,0.005832549388523048,0.002419029700309118,0.0016798817363257793,0.1171408120956501,0.005832549388523048,0.009825937616021255,0.013998904806968668,0.01695835385094372
