epoch,loss,lr,mean_absolute_error
0,88.706787109375,9.9901e-05,6.365441799163818
1,36.94948959350586,9.9802004e-05,4.724851608276367
2,34.344703674316406,9.970301e-05,4.559887409210205
3,32.74888229370117,9.960401e-05,4.460143089294434
4,31.552536010742188,9.9505014e-05,4.3798370361328125
5,30.578819274902344,9.940602e-05,4.314298629760742
6,29.734323501586914,9.930702e-05,4.2598137855529785
7,29.01940155029297,9.9208024e-05,4.210122108459473
8,28.25063705444336,9.910903e-05,4.160328388214111
9,27.631567001342773,9.901003e-05,4.113988399505615
10,26.9981689453125,9.8911034e-05,4.068659782409668
11,26.38973045349121,9.881204e-05,4.027390003204346
