epoch,e_time,loss,lr,p10,p5,r1,r10,r5
0,144.23820877075195,7.687757968902588,0.00099901,0.006506538949906826,0.0083101661875844,0.014086444862186909,0.06506536900997162,0.04155081510543823
1,132.75907945632935,6.8406901359558105,0.00099802,0.015714801847934723,0.0206361822783947,0.03698190301656723,0.15714798867702484,0.1031809002161026
2,132.80720567703247,6.211688995361328,0.0009970301,0.024318955838680267,0.03521735966205597,0.07718584686517715,0.24318824708461761,0.1760881245136261
3,132.70726370811462,5.742919921875,0.0009960401,0.030446486547589302,0.046398453414440155,0.11362845450639725,0.30446338653564453,0.23199228942394257
4,132.8557448387146,5.386905193328857,0.0009950501,0.035074956715106964,0.054897110909223557,0.14103366434574127,0.35075095295906067,0.2744854986667633
5,132.81013345718384,5.109481334686279,0.0009940601,0.0388391949236393,0.062164947390556335,0.16586482524871826,0.3883959949016571,0.3108249306678772
6,132.80248880386353,4.87750244140625,0.0009930701,0.042120251804590225,0.06830032914876938,0.18766655027866364,0.42120519280433655,0.3415030837059021
7,132.848774433136,4.6858015060424805,0.0009920801,0.04487866535782814,0.0735282227396965,0.20610179007053375,0.44878649711608887,0.3676384687423706
8,132.80402970314026,4.520781517028809,0.0009910901,0.04728997126221657,0.07808231562376022,0.22269350290298462,0.47289538383483887,0.3904004693031311
9,132.85631847381592,4.375685691833496,0.0009901001,0.04940160736441612,0.0822354406118393,0.23923705518245697,0.49401748180389404,0.41118139028549194
10,132.80872774124146,4.246306419372559,0.0009891101,0.05129161477088928,0.08601111173629761,0.25343355536460876,0.5129163861274719,0.43004998564720154
11,132.84741353988647,4.125115871429443,0.0009881201,0.05314710736274719,0.08964860439300537,0.26765620708465576,0.5314740538597107,0.4482458233833313
12,132.7388277053833,4.014360427856445,0.0009871301,0.05471877008676529,0.09279579669237137,0.2812184989452362,0.5471825003623962,0.46397632360458374
13,132.81325459480286,3.914067029953003,0.0009861401,0.05616583302617073,0.09574628621339798,0.29344627261161804,0.5616514086723328,0.4787382483482361
14,132.7366669178009,3.8286468982696533,0.0009851501,0.05739298090338707,0.09829144924879074,0.30421850085258484,0.5739300847053528,0.4914571940898895
15,132.82055068016052,3.744593858718872,0.0009841601,0.05859927460551262,0.10080190747976303,0.31495770812034607,0.5859858989715576,0.5040000081062317
16,132.8273799419403,3.660639762878418,0.0009831701,0.059842970222234726,0.10338585078716278,0.3254396617412567,0.5984338521957397,0.5169239640235901
17,132.8645884990692,3.586587905883789,0.0009821801,0.06089804694056511,0.10553810000419617,0.33542218804359436,0.6089804172515869,0.5276769399642944
18,132.80365777015686,3.512759208679199,0.0009811901,0.062018219381570816,0.10773958265781403,0.34439218044281006,0.6201805472373962,0.5386967658996582
