,dataset,subset,model,model_version,learning_rate,batch_size,max_val_NDCG@10,val_loss,epoch,model_md5
0,restaurants,gijon,ATT2ITM,1,0.0001,2048,0.4068615138530731,0.0114666428416967,211.0,544d98b3ba0a0dfd7e3f0019f4d9675e
1,restaurants,barcelona,ATT2ITM,0,1e-05,256,0.3199833929538727,3.85439395904541,371.0,a751af910be5e885fa3470532027da52
2,restaurants,madrid,ATT2ITM,0,1e-05,256,0.3653932511806488,3.5783350467681885,991.0,a4b0c8d943798dec23a1c92e58393f9c
3,restaurants,paris,ATT2ITM,0,5e-06,256,0.2773911952972412,4.54707670211792,998.0,93b1f31e2c35a560da30ecd7415f755e
4,restaurants,newyorkcity,ATT2ITM,0,1e-05,256,0.4261480569839477,3.2740392684936523,422.0,8b74c00371d98f236fb265dd46b234c4
5,pois,barcelona,ATT2ITM,0,5e-05,2048,0.739446222782135,1.03062641620636,145.0,befb3fb7ff73fefc2577c108acb4ebc0
6,pois,madrid,ATT2ITM,0,5e-05,2048,0.7426072955131531,1.0721014738082886,190.0,afe7526023b1827d88ecad6479de8971
7,pois,paris,ATT2ITM,0,5e-05,512,0.7874296307563782,0.8317833542823792,79.0,734cbcb93f6f6f5d7b5c5a5247f561f9
8,pois,newyorkcity,ATT2ITM,0,1e-05,1024,0.7641736268997192,0.907865822315216,567.0,37ed8371d07fb3ebc09c24d421039f8a
9,pois,london,ATT2ITM,1,5e-05,512,0.7795624732971191,0.0083000557497143,74.0,b1fd2b9a5b758e60a01fad655ae73515
10,amazon,fashion,ATT2ITM,0,5e-05,1024,0.3295591175556183,3.400614023208618,243.0,35df7659227e1d9871e0be81787f66c6
11,amazon,digital_music,ATT2ITM,0,5e-05,1024,0.3662043809890747,3.837238073348999,360.0,83d7299d69e036237427036eafe7886a
12,restaurants,gijon,BOW2ITM,0,0.001,1024,0.3514612317085266,3.122382164001465,33.0,401e85db0ccb089b9a9c16018ad9e1a4
13,restaurants,barcelona,BOW2ITM,0,0.001,8192,0.2810824513435364,4.344945907592773,44.0,e7847b82b4b7766d5c55f8c1fa6b420b
14,restaurants,madrid,BOW2ITM,0,0.001,8192,0.3406099379062652,3.976893424987793,40.0,d83ee2225f1cb02abaddf9f363260f4f
15,restaurants,paris,BOW2ITM,0,0.0005,8192,0.2265055626630783,5.247714996337891,48.0,6aea4232acc6d6e60e572d5e8bd9103f
16,restaurants,newyorkcity,BOW2ITM,0,0.001,8192,0.3808630108833313,3.676166534423828,22.0,03249d447359cf2ea87d87d3de473d6c
17,pois,barcelona,BOW2ITM,0,0.0001,2048,0.7156895995140076,1.1707037687301636,442.0,659b73c68ee6fbad1b8b86590c8b514e
18,pois,madrid,BOW2ITM,0,0.005,256,0.7146760821342468,1.1796156167984009,2.0,f8d6f8eec381179ac84a0715813f5322
19,pois,paris,BOW2ITM,0,0.0005,2048,0.7529587745666504,1.0106220245361328,99.0,9e071c5f97ff63f54bf5aed7243d7a8f
20,pois,newyorkcity,BOW2ITM,0,0.001,2048,0.7234144806861877,1.087734580039978,37.0,c6bf4924dccb44d4096c913f09b2856e
21,pois,london,BOW2ITM,0,0.001,1024,0.7348380088806152,1.1644794940948486,20.0,58539f1981fab6b86e15924f1a7bf50f
22,amazon,fashion,BOW2ITM,0,0.005,8192,0.2645290493965149,3.8868753910064697,30.0,2bf0d3793edf66c690c9d37fa4afa6b2
23,amazon,digital_music,BOW2ITM,0,0.001,4096,0.2803499102592468,4.474999904632568,42.0,f6437033f3c383c81bafbcd296d11122
24,restaurants,gijon,USEM2ITM,0,0.0005,2048,0.4302414357662201,3.117174863815308,99.0,6176b22e81f5ac3a3fd3d8cef15bf87f
25,restaurants,barcelona,USEM2ITM,0,0.001,1024,0.2905922830104828,4.798540592193604,40.0,681a8a44718862ca193269a2f26c265b
26,restaurants,madrid,USEM2ITM,0,0.001,512,0.3357517421245575,4.027191162109375,28.0,8e2850f07e2417da31adda6690ecb102
27,restaurants,paris,USEM2ITM,0,0.001,2048,0.2460779398679733,5.081831455230713,38.0,f77689739fee40dfa623d0c1e5f8eb58
28,restaurants,newyorkcity,USEM2ITM,0,0.001,512,0.4249460399150848,3.3144690990448,47.0,bf1ad401491f16a4b4c20361be55e9e5
29,pois,barcelona,USEM2ITM,0,0.0005,1024,0.7543154954910278,1.333579182624817,30.0,4a75205e3811c42a98be9cb8602c2f65
30,pois,madrid,USEM2ITM,0,0.0005,2048,0.7634950280189514,1.4606672525405884,59.0,6e01c0a0df89d627b95aa5b8fccc153c
31,pois,paris,USEM2ITM,0,0.001,512,0.7988049983978271,0.9095123410224916,9.0,6e921900e2c8a12d84716e2b1d975711
32,pois,newyorkcity,USEM2ITM,0,0.001,1024,0.7710602283477783,1.0642930269241333,17.0,96be83abf434a894bb645f31d26b84b8
33,pois,london,USEM2ITM,0,0.0005,512,0.7815009951591492,0.977700173854828,10.0,b7caed7a4d82d3bc054e9ddf4172ff9c
34,amazon,fashion,USEM2ITM,0,1e-05,2048,0.0224448889493942,6.113998889923096,253.0,b73849c1547e35e73b945f1ac891bf3e
35,amazon,digital_music,USEM2ITM,0,1e-05,2048,0.0126733519136905,6.880499839782715,8.0,79e6447f873f01e909da8f0dca6627ca
36,restaurants,gijon,BERT2ITM,0,5e-05,512,0.5462071895599365,2.716355800628662,155.0,0851e3f8dcd25c15bb825baf59606c31
37,restaurants,barcelona,BERT2ITM,0,5e-05,512,0.4384463131427765,3.6468114852905273,189.0,9d05ff0a2d45b9d3b8bef55af00183cf
38,restaurants,madrid,BERT2ITM,0,5e-05,512,0.470119297504425,3.4904119968414307,130.0,191a409a2e9d2bbec73524bcf3c49d30
39,restaurants,paris,BERT2ITM,0,5e-05,512,0.3666183948516845,4.317493915557861,92.0,fed84f2fd4497eaa06576291cfd81a3e
40,restaurants,newyorkcity,BERT2ITM,0,1e-05,512,0.5464451909065247,2.935469388961792,294.0,2c5f82c5004ec1e4c633b566e1293437
41,pois,barcelona,BERT2ITM,0,0.0001,1024,0.8589324355125427,1.0329359769821167,79.0,3ff3b4f95926d759b814fea0c8eaf4e0
42,pois,madrid,BERT2ITM,0,5e-05,1024,0.861765444278717,1.0065869092941284,152.0,071062bbfd2af44314638c5d3aa283e1
43,pois,paris,BERT2ITM,0,5e-05,512,0.8902838230133057,0.8620452284812927,95.0,734cbcb93f6f6f5d7b5c5a5247f561f9
44,pois,newyorkcity,BERT2ITM,0,5e-05,512,0.8774390816688538,0.886610209941864,74.0,58e0e4a9c6bdb99e6bcd46d1c2811c2d
